Business Name,Contact Name,Phone,Email,Website,Address,Notes,Date Found
"Treasure Coast Lexus","N/A","772-460-0000","N/A","https://www.treasurecoastlexus.com/","5121 S U.S Hwy. 1, Fort Pierce, FL 34982","Premier Lexus dealership for South Florida, serving Fort Pierce, Port St. Lucie, Jupiter, and Vero Beach. New and used Lexus sales with comprehensive service department. Service floors need epoxy for durability, oil resistance, chemical spills, and professional appearance in service bays.","2026-02-27"
"FITNESS nGO GYMS","N/A","772-200-2887","N/A","https://www.fitnessngo.com","250 NW Peacock Blvd, Port Saint Lucie, FL 34986","Locally owned gym with 25,000 sq ft of space. Features cryotherapy, hydromassage, sauna, tanning, and state-of-the-art fitness equipment. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance in high-traffic workout areas.","2026-02-27"
"EōS Fitness","N/A","772-206-2220","N/A","https://www.eosfitness.com","10624 SW Village Pkwy, Port St Lucie, FL 34987","Large 24-hour fitness chain with group fitness classes, strength training, cycling, Zumba, yoga, pilates, water aerobics, Les Mills classes, CryoLounge, recovery room, saunas, swimming pool and hot tub. Gym floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Florida Coast Medical Center","N/A","772-309-8500","N/A","https://www.palmbeachhealthnetwork.com","310 SE Veranda Falls Way, Port St. Lucie, FL 34984","New $200 million Tenet Healthcare hospital opened September 2025. 185,000 square foot facility with 54 inpatient beds providing comprehensive emergency and outpatient care. Hospital floors need epoxy for durability, chemical resistance (cleaning agents, spills), infection control, and easy maintenance.","2026-02-27"
"True Roots Catering","Chef Mike Febre (Owner)","772-259-1972","info@truerootscatering.com","https://www.truerootscatering.com/","Fort Pierce, FL 34945","Full-service catering company serving Fort Pierce, Vero Beach, Jensen Beach, Stuart, Port St. Lucie, Sebastian, Hobe Sound, and Palm City. Offers wedding, corporate event, private dinner, cocktail party, and private chef services. Commercial kitchen floors need epoxy for durability, chemical resistance, food safety compliance, and easy maintenance.","2026-02-27"
"MIDFLORIDA Event Center","N/A","772-807-4488","contact@midfloridaeventcenter.com","https://www.midfloridaeventcenter.com","9221 SE Event Center Place, Port St. Lucie, FL 34952","Massive 100,000 square-foot event venue featuring two ballrooms, art gallery, recreation wing, gymnasium, and outdoor space. 130,000+ guests annually, 403+ event days per year. Hosts concerts, comedy, weddings, festivals, trade shows, corporate events. Event facility floors need epoxy for durability, chemical resistance, and professional appearance in high-traffic common areas.","2026-02-27"
"Keiser University - Port St. Lucie Campus","N/A","772-398-9990","AdmissionsInfoPSL@keiseruniversity.edu","https://www.keiseruniversity.edu/port-st-lucie/","9400 SW Discovery Way, Port Saint Lucie, FL 34987","Private university campus conveniently located at 9400 SW Discovery Way. Features spacious classrooms, computer and medical labs, library, auditorium, comfortable lounge area, student services and career center. Educational facility floors need epoxy for durability, chemical resistance, and professional appearance in high-traffic areas.","2026-02-27"
"Florida Atlantic University - Treasure Coast Campus","N/A","772-873-3300","N/A","https://www.fau.edu/","500 NW California Blvd, Port Saint Lucie, FL 34986","Florida Atlantic University Treasure Coast Campus located on 50 acres in Port St. Lucie. Serves educational needs of Treasure Coast region with programs primarily in business, education, and nursing. Educational facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Indian River State College - Massey Campus","N/A","N/A","N/A","https://irsc.edu/","3209 Virginia Ave, Fort Pierce, FL 34981","Indian River State College's Massey Campus is the primary hub. Provides comprehensive degree programs, student services, and essential resources for Treasure Coast community. Large educational facility floors need epoxy for durability, chemical resistance, and professional appearance in high-traffic areas.","2026-02-27"
"Indian River State College - Pruitt Campus","N/A","N/A","N/A","https://irsc.edu/","500 NW California Blvd, Port Saint Lucie, FL 34986","Indian River State College's Pruitt Campus offers degrees in nursing and biology. Features STEM Center, Veterans Center of Excellence, and state-of-the-art nursing simulation facilities. Educational facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Indian River State College - Chastain Campus","N/A","N/A","N/A","https://irsc.edu/","2400 SE Salerno Rd, Stuart, FL 34997","Indian River State College's Chastain Campus serves Martin County with programs in nursing, business, and health sciences. Features Robert Morgade Library and Clark Advanced Learning Center. Educational facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Indian River State College - Mueller Campus","N/A","N/A","N/A","https://irsc.edu/","6155 College Ln Richardson Center, Vero Beach, FL 32966","Indian River State College's Mueller Campus offers programs in culinary arts, hospitality, and nursing. Features Brackett Library and Richardson Center for community and corporate events. Educational facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Kelly's Animal Hospital","N/A","772-336-8111","N/A","https://kellysanimalhospital.com/","150 NW Central Park Plaza, Port Saint Lucie, FL 34986","Premier animal hospital since 1992. Completely computerized with digital radiography, extensive in-house laboratory, therapeutic cold laser machine, fully stocked pharmacy, large boarding facility with 32 large runs separate cat ward, and large grooming salon. Veterinary facility floors need epoxy for durability, chemical resistance (disinfectants, animal waste), and easy maintenance.","2026-02-27"
"South Florida Gateway Distribution Center","Matthew McAllister (Leasing)","561-227-2018","matthew.mcallister@cushwake.com","N/A","Stuart, FL 34997","New speculative industrial project featuring two industrial warehouse buildings totaling over 983,000 square feet. Ideally located close to both Florida's Turnpike and I-95. Rear-load buildings with tilt-wall construction, minimum clear height up to 36', four 9' x 10' dock-high doors per bay. Distribution facility floors need epoxy for durability, chemical resistance, and professional appearance in high-traffic areas.","2026-02-27"
"Gator Building Supply","N/A","772-589-8976","N/A","https://gatorbuildingsupply.com/","9555 N. US Highway 1, Sebastian, FL 32958","Family-owned lumber company catering to contractors and custom builders in Vero Beach, Sebastian and surrounding markets. Offers quality lumber and building materials, custom millwork, full-scale door shop on property. Supply store floors need epoxy for durability, chemical resistance, and professional appearance in high-traffic retail and warehouse areas.","2026-02-27"
"Sparkle Car Wash - California Blvd","N/A","772-344-2777","N/A","https://sparklecarwashpsl.com/","141 NW California Blvd, Port Saint Lucie, FL 34986","Full-service car wash and auto detailing facility. Every 10th wash is FREE with VIP program. Offers exterior wash, hand dry, vacuum interior, windows cleaned, wheel brightener, spot free rinse, door jams wiped, underbody wash, tire shine, fragrance, full service wash, triple foam/clear coat, extreme shine wax. Car wash floors need epoxy for durability, chemical resistance (soaps, waxes), and professional appearance.","2026-02-27"
"Sparkle Car Wash - Fountainview","N/A","N/A","N/A","https://sparklecarwashpsl.com/","1820 SW Fountainview Blvd, Port St. Lucie, FL 34986","Full-service car wash and auto detailing facility open 24 hours a day, 7 days a week. Offers exterior wash, hand dry, vacuum interior, windows cleaned, wheel brightener, spot free rinse, door jams wiped, underbody wash, tire shine, fragrance, full service wash, triple foam/clear coat, underbody wash, wheel brightener/tire shine, fragrance, extreme shine wax, triple foam/clear coat, full service vacuum, condition all doors, clean all windows, shampoo all carpets, mats and upholstery, clean and condition all vinyl plastic and leather, clean door jams and windows, three step buffing, clean wheels, tire shine and condition all trim, hand wax all painted surfaces, full service car wash with deodorize and deodorize, shampoo all carpets and mats, clean and condition all vinyl plastic and leather. Car wash floors need epoxy for durability, chemical resistance, and professional appearance in high-traffic facility.","2026-02-27"
